finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
hinge access green hyd panel found peel off,"['obey all warnings, cautions and notes as', 'do removal corrosion at hinge access gre', 'do repaint on the surface.']","[0.1, 2.0, 1.0]","['w301', 'w301', 'w403']",0
hinge bracket rudder panel 325 dl crack,"['obey all of the warnings, cautions and n', 'replace bracket panel 325dl', 'restore area back to its serviceable con']","[0.1, 4.0, 0.1]","['gah320a1', 'gah320a1', 'gah320a1']",nan
hinge compartemnet tissue toilet l35 broken,"['remove the wash basin lining for repair', 'repair hinge tissue comp', 'paint hinge tissue comp', 'install the wash basin lining']","[2.0, 4.0, 2.0, 2.0]","['gah320c1', 'w401', 'w103', 'gah320c1']",nan
hinge panel tissue side mirror l61 not proper(need screw n adjust),"['obey all of the warnings, cautions, and', 'install attaching part of door tissue pa', 'do adjustment of door tissue panel besid']","[1.0, 1.0, 0.5]","['gah310c1', 'gah310c1', 'gah310c1']",0
hinge washbasin panel lavatory found broke post l74,"['obey all of the warnings, cautions, and', 'remove the washbasin lining lavatory for', 'replace hinge washbasin panel lavatory', 'repair surface of washbasin panel', 'paint washbasin panel', 'install the washbasin lining lavatory']","[0.5, 1.0, 1.0, 1.0, 1.0, 1.0]","['gah310c1', 'gah310c1', 'w401', 'w401', 'w103', 'gah310c1']",0
hook roller blind cover broke 1 ea & plastic roller blind f/o seat found tear off 1 ea,"['obey all of the warnings, cautions, and', 'replace roller blind sliding window']","[1.0, 0.8]","['gah310c1', 'gah310c1']",0
horizontal stabilizer inboard water drain valve broken,"['replace water drain valve', 'do leak check of the water drain valve']","[2.0, 2.0]","['gah320a1', 'gah320a1']","91-6817:u9084 (packing)
199-0004-010:u9084 (packing)
sfr07140:u9084 (valve)"
horstab and verstab hoist point cover broken 20 ea,"['obey all warnings, cautions and notes as', 'replace hoist point cover', 'restore area back to its serviceable con']","[0.1, 4.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",0
hot floor door 4 lh fin 271 kf foun dent pn: 4e5740-5 sn: a023194,"['obey all of the warnings, cautions, and', 'do check limitation of heated floor', 'replace the heated floor', 'do operational check of heated floor']","[1.0, 1.0, 2.0, 0.5]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",0
"hp blue manifold found black deposit at port (a,h)","['obey all of the warnings, caution, and n', 'replace packing hp blue manifold at port', 'do test of the hp manifold', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 0.1]","['gah330a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
hp blue manifold found black deposite at port a and h,['cover by mdr 805142686'],[0.1],['gah310a1'],0
"hp green filter manifold 5102jm found black deposit at port a, b, c, and plug bleeder","['obey all of the warnings, cautions, and', 'replace packing union', 'do leak check of the hp manifold', 'do check for air in the green system', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
hp green manifold found black deposite need packing nas 1612-16a 2ea,['cover by mdr 805263908'],[0.1],['gah310a1'],0
"hp yellow manifold 7103jm found black deposit at port a, e, f","['obey all of the warnings, cautions, and', 'replace packing union', 'do leak check of the hp manifold', 'do check for air in the yellow hyd syste', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
hsmu taken for pk-gpp,"['install hsmu', 'do the operational test of the overheat']","[2.0, 2.0]","['gah320e1', 'gah320e1']",0
hyd compt fairing area found clamp of air scoop duct corrosion total 8ea btw fr46-47,"['obey all warnings, cautions and notes as', 'replace clamp of air scoop duct', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1']",0
hyd control unit taken for pk-gpn,"['install hydraulic block nose wheel steer', 'do a bite test of the bscu and its relat', 'do functional test of the nose wheel ste', 'do leak check connetion area', 'do check for air in the green/blue/yello']","[2.0, 2.0, 2.0, 2.0, 2.0]","['gah320a1', 'gah320a1', 'gah320a1', 'gah320a1', 'gah320a1']",0
hyd green system need flushing,"['obey all of the warnings, cautions, and', 'drain the reservoir of the green hydraul', 'fill the green hydraulic reservoir', 'replacement of the fluid in the engine p', 'replacement of the fluid in the supply a', 'replacement of the fluid in the flap and', 'replacement of the hydraulic fluid in th', 'replacement of the fluid in the nose whe', 'replacement of the fluid in the landing', 'replace  hydraulic filter the high press', 'replace hydraulic filter the lp filter 5', 'replace hydraulic filter the two case dr', 'leak test of the green-hydraulic flight-', 'bite test of the green-hydraulic flight-', 'do the operational test of the green hyd', 'do a reset of circuit breaker 5jr.', 'bleed the normal braking system', 'bleed the pitch trimmer', 'fill the green hydraulic reservoir', 'do a reset of the hydraulic system monit', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
hydraulic blue system need flushing,"['obey all of the warnings, cautions and n', 'drain the reservoir of the blue hydrauli', 'connect the flexible hose to the lp mani', 'connect the fill cart unit to the suctio', 'operate the hydraulic service cart and i', 'pressurize the blue hydraulic reservoir', 'replace the fluid in the engine pump suc', 'replace the fluid in the supply and retu', 'replace the fluid in the slat supply and', 'replace the fluid in the alternate brake', 'connect the hydraulic tube after replace', 'replace the hp filter 5111 jm2', 'replace the lp filter 5011 jm2', 'replace the case drain filter 5013 jm2', 'disconnect the hydraulic connector', 'do the bleeding of the alternate brake s', 'restore area back to its serviceable con']","[0.1, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.1]","['gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
hydraulic compartment nipple cap was missing 3 ea,['replace charging valve cap'],[1.0],['gah320a1'],0
"hydrolock seat y/class found weak 17ea pos 21cf,22d,23cdh,33g,34dgh,37h ,39k,41d,42e,43c,46e,53c","['replace hydrolock seat y/class', 'adjust hydrolock recline seat y/class']","[4.0, 4.0]","['w101', 'w101']",0
"iat arm table position 21 g/f, 21 e/d , 39a, 39c, 39f, 39g found crack and peel off","['cover by 805206942', 'cover by 805206942', 'cover by 805206942']","[0.1, 0.1, 0.1]","['gah320c1', 'gah320c1', 'gah320c1']",0
ice drawer guide rail g2f broke and ball rollers missing at both sides,['replace the ice drawer guide rails'],[1.5],['gah310c1'],"a5210-21p:52607 (slide)
a5210-21p:52607 (slide)"
ice protection grid rh side was broken 2 ea,"['remove duct for replacement ice grid', 'replace ice grid', 'install duct', 'do leak check of the duct connection']","[2.0, 2.0, 2.0, 2.0]","['gah320e1', 'gah320s1', 'gah320e1', 'gah320e1']","ms20426ad3-4:81205 (rivet (tbr))
f2121571600000:fape3 (screen)
f2121571600000:fape3 (screen)
f2121571600000:fape3 (screen)"
ifec fan 255hu pn:vd3901-00 at fwd cargo taken for pk-gpz,"['install new ifec fan 255hu', 'do operational test of the ldcc ventilat']","[3.0, 2.0]","['gah320e1', 'gah320e1']",0
ignition exciter engine 1 taken for pk-gpd,"['install ignition exciter engine 1', 'do the audible test of the ignition syst']","[2.0, 2.0]","['gah320a2', 'gah320a2']",0
indicator lamp cockpit and apu fire,['pse do rectification due to found indica'],[3.0],['gah210e1'],nan
infant life vest found tear off qty:3ea position coatroom 4rh,['cover by 805206813'],[0.1],['gah320c1'],0
infant lifevest expired 3 ea position coatroom 4rh,['cover by 805196068'],[0.1],['gah320c1'],0
infant lifevest pos stowage g4r found tear off,"['obey all of the warnings, cautions, and', 'remove the life vest infant for send to', 'install the life vest infant']","[1.0, 1.0, 1.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
infantlifevest post l/g bin aft door 2,"['obey all of the warnings, cautions, and', 'remove infant lifevest for send to shop', 'install infant lifevest']","[1.0, 0.0, 0.0]","['gah310c1', 'gah310c1', 'gah310c1']",0
inner monument under fixed armrest dent pos 11g,"['general precaution', 'repair & touchup inner monument under fi']","[0.1, 3.0]","['w101', 'w101']",0
"inner pane(accoustic pane) of sidewall found scratch total 13ea position aft zone rh : 11,19,20,21 aft zone lh : 6,9,11,22,23 mid zone lh : 13,15,16,17",['replace the sidewall acoustic pane'],[3.5],['gah310c1'],0
insdie handle lavatory paint peel off at l61,['do repair the paint of inside handle lav'],[3.0],['w101'],nan
insert nut at lower side door communication l61/l62 corrosion 12ea,['repair insert nut of lower door comunica'],[4.0],['w401'],0
insert nut door galley 1 fwd stuck 23 ea,['repair insert nut door galley 1 fwd'],[3.0],['w401'],0
"insert nut drimple at floor panel 241cf, 242cf, 241hf was broke","['obey all warnings, notes and cautions as', 'replace insert due to broken']","[0.1, 8.0]","['gah310c1', 'gah310c1']",0
insert nut of angle door l73 not install & l61/l62 found broke 3ea,"['general:', 'install insert nut angle lavatory l61, l']","[0.1, 2.0]","['w401', 'w401']",0
insert nut upper coatroom center door 1 broke,['repair insert nut upper coatroom center'],[1.0],['w401'],0
"inside compartment fwd seat 6k,6a paint peel off","['obey all of the warnings, cautions, and', 'do repair and touch up the paint with ma']","[1.0, 6.0]","['w103', 'w103']",0
"inside galley door 213 ,216, 234, 235,469, 470, 471<(>,<)> 473, 474, 475, 439 , 432 , 445, 111 a/b, 113, 114, 115 a/b puncher","['obey all of the warnings, cautions, and', 'remove door galley for send to shop', 'repair inside galley door at defected ar', 'repair touch up paint inside door galley', 'install door galley']","[1.0, 10.0, 10.0, 10.0, 11.0]","['gah310c1', 'gah310c1', 'w401', 'w103', 'gah310c1']",0
"inside overhead bin paint peel off position zone a lh(3,5). zone b lh(9), ctr( 16lh, 7rh,8rh,11rh,16rh) rh(7,13,16). zone c rh(3,6), ctr(2rh)","['repair inside the luggage bin compartmen', 'paint inside the luggage bin compartment']","[10.0, 5.0]","['w401', 'w103']",0
"inside stowage 641 651(fwd l54/53) ,611 601(fwd l33/34),c1r,c1l,swotage aft g1a, paint peel off","['obey all of the warnings, cautions, and', 'do repair and touch up the paint with ma']","[1.0, 8.0]","['w103', 'w103']",0
inspect all oven screws installation,"['warning:', 'inspect all screws intallation holding t', 'warning:', 'inspect all screws intallation holding t']","[0.0, 1.5, 0.0, 1.5]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']",nan
inspection on apu air intake box,"['remove paint by the application of chemi', 'perform smooth blend out corrosion with', 'perform hfec inspection for any crack', 'do measurement initial and remaining thi']","[3.0, 8.0, 1.0, 3.0]","['w403', 'gah330s1', 'w807', 'w808']",nan
install mod kit 253676a01r02,['install mod kit 253676a01r02'],[6.0],['gah210zz'],nan
install new espresso maker pos. mid galley due to p/n and s/n not effective,"['caution:', 'remove espresso maker s/n: 07587 at pos.', 'install espresso maker s/n 05590 at pos.', 'the removed part from pk-gha']","[0.0, 0.5, 0.5, 0.0]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']","hfe2005-01:aeaa2 (espresso maker)
hfe95-20d:aeaa2 (maker, espresso)"
install packing at trim tank panel 319er,['install packing at trim tank panel 319er'],[1.0],['gah210zz'],nan
install spring on f/o table with blind rivet,['install spring on f/o table with blind r'],[0.0],['gah210zz'],nan
installation of 2 ea air chiller which been removed for support pk-gpq,"['note:', 'note:', 'do installation of 2 ea air chiller ex p', 'write this condition on the cml']","[0.0, 0.0, 2.0, 0.0]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",267-100:60299 (air chiller)
introduce new reservoir with improved please drill the screw,['found 1ea screw at aft cargo panel worn'],[2.0],['gah210zz'],"42f0026:b1316 (valve (use pn 42f0029))
42f0029:b1316 (prv - hydraulic reservoir valve)"
inventory check reservoir and prv green main hydraulic system,['perform inventory check hydraulic green'],[0.0],['gah210zz'],nan
kick strip door 2lh fwd wringkle,"['obey all of the warnings, cautions, and', 'repair kickstrip door 2lh']","[1.0, 0.0]","['w401', 'w401']",nan
l/g ctr lever taken for pk-gpr,"['install l/g ctr lever', 'do the operational test of the landing g']","[2.0, 2.0]","['gah320a2', 'gah320a2']",0
"l/g door bypass valve found black deposit at port ( c,d )","['obey all of the warnings, cautions, and', 'replace lg door bypass valve', 'do leak test', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 0.5]","['gah330a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
l/g door bypass valve found black deposit at port (b),"['obey all of the warnings, cautions, and', 'replace lg door bypass valve', 'do leak test', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 0.5]","['gah330a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
l/g door manifold safety valve found black deposite at port c and d,['cover by mdr 805142475'],[0.1],['gah310a1'],0
l/g safety valve found black deposit at port (b),"['obey all of the warnings, caution, and n', 'replace packing l/g safety valve at port', 'do test of the landing gear isolation sa', 'restore area back to its serviceable con']","[0.1, 4.0, 2.0, 0.1]","['gah330a1', 'gah310a1', 'gah310a1', 'gah310a1']",0
l/g safety valve found black depositeat port b,['cover by mdr 805142601'],[0.1],['gah310a1'],0
l/g selector valve found black deposite at port z and l,['cover by mdr 805107232'],[0.1],['gah310a1'],0
l/h wing flap track #2 moveable fairing found erotion,"['obey all warnings, cautions and notes as', 'remove lh wing movable flap track fairin', 'do remove forward fairing seal and faste', 'do visual inspection and measure damage', 'perform permanent repair to the damage a', 'do install forward fairing seal and fast', 'restore surface protection to the repair', 'install lh wing movable flap track fairi', 'do extend and retract the flaps fully', 'restore area back to its serviceable con']","[0.5, 4.0, 2.0, 2.0, 16.0, 2.0, 4.0, 4.0, 1.0, 0.5]","['gah310a1', 'gah310a1', 'w301', 'w302', 'w302', 'w301', 'w403', 'gah310a1', 'gah310a1', 'gah310a1']",0
l/h wing flap track #4 moveable fairing found eeotion,"['obey all warnings, cautions and notes as', 'remove lh wing flap track fairing #4', 'do remove forward fairing seal and faste', 'do visual inspection and measure damage', 'perform permanent repair to the damage a', 'do install forward fairing seal and fast', 'restore surface protection to the repair', 'install lh wing flap track fairing #4', 'do extend and retract the flap fully', 'restore area back to its serviceable con']","[0.5, 4.0, 2.0, 2.0, 16.0, 2.0, 4.0, 4.0, 1.0, 0.5]","['gah310a1', 'gah310a1', 'w301', 'w302', 'w302', 'w301', 'w403', 'gah310a1', 'gah310a1', 'gah310a1']",0
l11 cabinet lower wash basin found broke,"['remove the washbasin lining assembly for', 'repair the panel washbasin door lavatory', 'paint with aic 2.16 fog', 'install the washbasin lining assembly af']","[1.5, 5.0, 2.0, 2.0]","['gah310c1', 'w401', 'w103', 'gah310c1']",0
l11 lavatory door laminate bubble,['relaminate lavatory door l11'],[12.0],['w401'],"s011976:gmfdm (bac94333 - luna pattern, medium gloss)
bostik7132r-b0sc0dur24t:5w425 (adhesive decorative laminating)
s012540:gmfdm (decorative laminate)
s012540:gmfdm (decorative laminate)"
l11 lock of panel beside mirror found not installed,['install latch of the cabinet service pan'],[1.0],['gah310c1'],0
l11 mirror cannot lock,['do a cleaning lock of the mirror'],[1.0],['gah320c1'],nan
l33 baby bassinet/nursing table latch cannot lock/hard to lock,"['replace latch assy of the baby nursing t', 'do operational test of the baby nursing']","[0.5, 0.2]","['gah320c1', 'gah320c1']",0
l33 door upper trim was broke,['replace the lavatory door frame section'],[1.5],['gah310c1'],0
l33 mirror found not proper install,['reinstall properly lavatory mirror'],[2.0],['gah320c1'],nan
l33 mirror lock hard to open,['do a cleaning lock of the mirror'],[1.0],['gah320c1'],nan
l33 panel near toilet seat cover panel paint scratch,"['repair surface of the wash-basin lining', 'apply the paint of the wash basin lining']","[2.0, 2.0]","['w401', 'w103']",0
l33 wall upper door lavatory laminate disbonded,['repair the laminate of door lavatory'],[2.0],['w401'],0
l34 door damper was weak,"['replace the damper of door lavatory', 'do operational test of the door lavatory']","[1.0, 0.5]","['gah310c1', 'gah310c1']",0
l34 flap assy of cabinet lower wash basin was broke,"['remove the washbasin lining assy for rep', 'repair the cabinet lower wash basin pane', 'paint with aic 2.16 fog', 'install the washbasin lining assembly af']","[1.0, 5.0, 2.0, 1.5]","['gah310c1', 'w401', 'w103', 'gah310c1']",0
l34 laminate upper door lavatory peel off,['repair the laminate of lavatory door'],[3.0],['w401'],0
l34 push button mirror hard to operate,['do a cleaning lock of the mirror'],[1.0],['gah310c1'],nan
l34 upper trim was disbonded,['replace the defective trim'],[2.5],['gah320c1'],0
l53 bottle of soap dispenser found cracked,"['replace bottle of the soap dispenser', 'do operational test of the soap dispense']","[1.0, 0.0]","['gah320c1', 'gah320c1']",0
l53 door damper was weak,"['replace the lavatory door damper', 'do operational test of the lavatory door']","[1.0, 0.0]","['gah320c1', 'gah320c1']",0
l53 door lock found hard to operate,['reinstall properly lock of the lavatory'],[1.0],['gah320c1'],nan
l53 inside lavatory wall paint scratch,"['repair surface of curve wall inside lava', 'apply the paint of curve wall inside lav']","[8.0, 4.0]","['w401', 'w103']",0
l53 knob lock lavatory door inside was not installed,['install the knob of the lavatory lock do'],[1.0],['gah320c1'],0
l53 lavatory mirror can not open due to release hard to operated,['do a cleaning lock of the mirror'],[1.0],['gah320c1'],nan
l53 lead bonding door cabinet was broke,['replace the lanyard of the washbasin doo'],[1.0],['gah310c1'],0
l53 mirror cannot lock,['install plate of the mirror door'],[1.0],['gah320c1'],0
l53 mirror lock hard to operate,['do a cleaning lock of the mirror'],[1.0],['gah320c1'],nan
l54 mirror lock hard to operate,['do a cleaning lock of the mirror'],[1.0],['gah320c1'],nan
l54 paint near flush switch peel off,"['repair surface of wall near flush switch', 'apply the paint of toilet flush button f']","[4.0, 2.0]","['w401', 'w103']",0
l54 panel near toilet seat cover panel paint scratch,"['repair surface of the wash-basin lining', 'apply the paint of the wash basin lining']","[3.0, 2.0]","['w401', 'w103']",0
l54 screw trim door not installed 3 ea (position at frame lavatory),['install screw profile of the lavatory'],[1.0],['gah320c1'],0
"l61 ""l"" shaped door angle was corroded","['replace angle ""l"" shaped /bracket of doo']",[1.0],['gah310c1'],0
l61 angle/block door communication was corroded,['replace angle and block of door communic'],[1.0],['gah310c1'],0
l61 cover handle inside wall lavatory paint peel off,['do paint repair on the panel'],[2.5],['w103'],0
l61 cover lavatory light paint peel off,"['repair surface of cover lavatory light', 'do touch up paint with aic 2.8 grey clou']","[3.0, 1.0]","['w401', 'w103']",0
l61 drain hose wash basin found leak,"['replace hose of the drain valve at washb', 'do a leak check of the drain valve at la']","[1.0, 0.5]","['gah320c1', 'gah320c1']",0
l61 latch door lavatory can't operate correctly(can be moved when door fully open),['check the actual condition of the lock d'],[1.0],['gah310c1'],nan
l61 outside wall laminate peel off & dent,['relaminate wall lavatory'],[12.0],['w401'],0
l61 rubber seal around container waste compartment was not install,['install the waste compartment profile se'],[2.0],['gah320c1'],0
l61 screw door communication at lower bracket side was stuck 2 ea,"['remove the stuck screw of lavatory brack', 'install screw of lower bracket door comu']","[2.0, 1.0]","['gah320s1', 'gah320c1']",0
l61 screw door communication at lower side was corroded,['replace screws of lower sill of door com'],[1.0],['gah310c1'],0
l61 screw door communication at lower side was stuck 10 ea,"['obey all of the warnings, cautions and n', 'remove screw stuck', 'replace insert nut', 'install serviceable screws to the door c']","[1.0, 5.0, 1.0, 1.0]","['gah320s1', 'gah310c1', 'gah310c1', 'gah310c1']",0
l61 soap dispenser was cracked,"['replace bottle of the soap dispenser', 'do operational test of the soap dispense']","[1.0, 0.3]","['gah320c1', 'gah320c1']",0
l61 tissue panel under wash basin broke,"['remove the washbasin lining assembly for', 'repair tissue panel under washbasin of l', 'paint tissue panel under washbasin of l6', 'install the washbasin lining assembly af']","[1.0, 2.0, 2.0, 1.5]","['gah310c1', 'w401', 'w103', 'gah310c1']",0
"l62 ""l"" shaped door angle was corroded","['replace angle ""l"" shaped /bracket of doo']",[1.0],['gah310c1'],0
l62 cabinet tissue panel paint peel off,"['repair surface of cabinet tissue panel', 'apply paint on the cabinet tissue panel']","[2.0, 2.0]","['w401', 'w103']",0
l62 mirror lock found stuck,['do a cleaning lock of the mirror'],[1.0],['gah320c1'],nan
l62 outside wall lavatory laminate peel off upper side near trim door,['relaminate door lavatory'],[9.0],['w401'],0
l62 panel tissue lower mirror lavatory crack,"['repair tissue panel lower mirror l62', 'paint tissue panel lower mirror l62']","[1.0, 1.0]","['w401', 'w103']",0
l62 soap dispenser bottle was cracked and leak,"['replace bottle of the soap dispenser', 'do operational test of the soap dispense']","[1.0, 0.2]","['gah320c1', 'gah320c1']",0
l62 upper trim door lavatory was broke,['replace upper section/trim of door lavat'],[1.0],['gah310c1'],0
l62 wash basin drain hose was leak,"['replace hose of the drain valve at washb', 'do a leak check of the drain valve at la']","[1.0, 0.5]","['gah320c1', 'gah320c1']",0
"l73 ""l"" shaped door angle was corroded","['replace angle ""l"" shaped of door lavator']",[1.5],['gah310c1'],0
l73 bottle dispenser was crack,"['replace bottle of the soap dispenser', 'do operational test of the soap dispense']","[1.0, 0.2]","['gah320c1', 'gah320c1']",0
l73 mirror door cannot lock,['do a cleaning lock of the mirror'],[1.0],['gah320c1'],nan
l73 outside wall near ashtray laminat peel off,['relaminate wall lavatory'],[12.0],['w401'],0
l73 paint wall inside lavatory peel off ( 3spots ),"['repair surface of inside wall lavatory', 'apply the paint of curve wall inside lav']","[8.0, 4.0]","['w401', 'w103']",0
l73 panel washbasin lining for attachment door was broke,"['remove the washbasin lining for repair t', 'repair the washbasin lining', 'apply paint at the washbasin lining with', 'install the washbasin lining after repai']","[1.5, 5.0, 2.0, 2.0]","['gah310c1', 'w401', 'w103', 'gah310c1']",0
l73 side section upper door frame was broke,['replace the lavatory door frame section'],[2.5],['gah310c1'],0
l73 tissue compartment cracked,"['do repair the panel on site', 'do paint repair on the panel']","[2.5, 2.5]","['w401', 'w103']",0
l73 tissue panel lower mirror lavatory crack,"['repair surface of panel at lower mirror', 'apply paint on the panel lower mirror wi']","[2.0, 2.0]","['w401', 'w103']",0
l73 trim upper door including screws was not installed,['install upper section and fasteners of d'],[1.0],['gah310c1'],0
l73 upper hinge of lavatory waste access door was broken,"['remove the wash basin lining for repair', 'repair the hinge washbasin door', 'apply paint with aic 2.16 fog', 'install the wash basin lining assembly a']","[1.5, 5.0, 2.0, 2.0]","['gah310c1', 'w401', 'w103', 'gah310c1']",0
l73 wall inside lavatory near toilet shroud small dent,"['repair wall inside lavatory', 'do paint repair on the panel with aic 2.']","[6.0, 4.0]","['w401', 'w103']",0
l74 bottle soap dispenser was not installed,"['install the soap dispenser', 'do operational test of the soap dispense']","[0.5, 0.5]","['gah310c1', 'gah310c1']",0
l74 faucet soap dispenser found leak,"['replace the defective soap dispenser fau', 'do operational test of the soap dispense']","[1.5, 0.5]","['gah310c1', 'gah310c1']",0
l74 flap door cabinet lower wash basin was broke,"['remove the washbasin lining assembly for', 'repair flap door cabinet under washbasin', 'paint the flap door of washbasin with ai', 'install the washbasin lining assembly af']","[1.0, 2.0, 2.0, 1.5]","['gah310c1', 'w401', 'w103', 'gah310c1']",0
l74 seal between wall & cabinet panel tear off,['reapply the sealant between panel'],[2.5],['gah310c1'],0
l74 side section upper door found not proper install,['install properly the lavatory door frame'],[2.5],['gah310c1'],nan
l74 washbasin lining paint peel off,"['remove the washbasin lining for repair t', 'repair the washbasin lining', 'apply paint at the washbasin lining with', 'install the washbasin lining after repai']","[1.5, 5.0, 2.0, 2.0]","['gah320c1', 'w401', 'w103', 'gah320c1']",0
laminate at door galley 4 lh dent,['relaminate of door galley 4lh'],[2.0],['w401'],nan
laminate door galley 232a was peel off.,['relaminate door galley 232a'],[12.0],['w401'],"s011976:gmfdm (bac94333 - luna pattern, medium gloss)
fastbond10:5h611 (adhesive '3m')"
laminate door galley found disbond post g439a,"['general:', 'apply adhesive to laminate door g439a']","[1.0, 1.0]","['w401', 'w401']",0
laminate door lavatory l74 was peel off.,['repair patching decorative laminate of d'],[4.0],['w401'],"s011976:gmfdm (bac94333 - luna pattern, medium gloss)
fastbond10:5h611 (adhesive '3m')
s012540:gmfdm (decorative laminate)"
laminate outside door lavatory l11 bad patching,"['general:', 'relaminate door outside lavatory l11']","[1.0, 8.0]","['w401', 'w401']",0
laminate partition g2 door g449 found peel off,['repair by patching the laminate of parti'],[3.0],['w401'],0
"lamp chiller ""avail and on/off"" g2a not ill",['cover by 805207069'],[1.0],['gah310c1'],nan
"lamp chiller ""fault"" g1f not ill",['cover by 805207070'],[1.0],['gah310c1'],nan
landing light lh taken for pk-gpx,"['install landing light lh', 'do the operational test of landing light']","[2.0, 2.0]","['gah310e1', 'gah310e1']",0
lanyard door waste compartment l53 was cut off,['install serviceable washbasin door lanya'],[1.2],['gah320c1'],0
lanyard of btmu connector #4 broken,"['obey all warnings, cautions and notes as', 'replace lanyard of btmu#4', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah310a1', 'gah310a1', 'gah310a1']",0
lapt belt assy taken for pk-ghe pn: 503919-402sn: nsn,"['install lapt belt assy', 'do the operational test of the third occ']","[2.0, 2.0]","['gah320c1', 'gah320c1']",0
latch galley 4 found loose 3ea,"['obey all of the warnings, cautions and n', 'replace latch of galley 4']","[1.0, 2.0]","['gah310c1', 'gah310c1']",0
"latch galley door of trolley compartment found loose position 1a06, 1f12,1f14, 1f15, 1f16, 2f13, 2f13, 2f16, 4f13, 4r19,4l18","['obey all of the warnings, cautions, and', 'tighten and reinstall properly the lacth']","[0.1, 6.0]","['gah310c1', 'gah310c1']",nan
latch galley pos 4r25a & 4f14a loose,['cover by 805206976'],[0.1],['gah320c1'],nan
"latch lower galley for trolley found not proper install position 2a11,4f15",['cover by 805208192'],[0.1],['gah310c1'],nan
"latch stowage door attd seat 1lh aft, 4rh found weak total 2 ea pn sam222-19","['general precaution', 'replace door latch attendant seat']","[0.1, 1.0]","['w101', 'w101']",0
latch trolley g1f12 not install,['cover by 805207070'],[1.0],['gah310c1'],nan
"latches galley big size (1f17, 2f16, 4r18, 4l18) medium size (4l18) found loose","['obey all of the warnings, cautions and n', 'adjust the latch/catches of galley']","[1.0, 10.0]","['gah310c1', 'gah310c1']",nan
lateral light cover aft zone no 13lh allen bracket disbonded,"['remove the sidewall lining for repair', 'reattach the bracket to the sidewall', 'install the sidewall after repair']","[0.5, 1.5, 0.8]","['gah310c1', 'gah310c1', 'gah310c1']",nan
lav l74 waste flaper need adjustment,"['obey all of the warnings, cautions, and', 'do adjustment waste chute flap']","[1.0, 1.0]","['gah310c1', 'gah310c1']",nan
lav lt l11 intermitten,"['obey all of the warnings, cautions, and', 'do troubleshoot', 'reinstall the electrical connector of th', 'do operational test of lavatory lighting', 'restore area back to its serviceable con']","[0.1, 1.5, 1.0, 0.1, 0.1]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",nan
lavatory l33 no water flow from the water faucet,['do troubleshoot of the water system at l'],[1.0],['gah320c1'],nan
"lavatory mirror and lock lavatory mirror found not proper install position l61,l53,l74,l54",['cover by 805208193'],[0.1],['gah320c1'],nan
lavatory waste box door inner surface paint scratch position l74,"['obey all of the warnings, cautions, and', 'remove door washbasin for send to shop', 'repair surface of inner waste box door', 'paint inner waste box door', 'install door washbasin']","[1.0, 0.5, 1.0, 1.0, 0.8]","['gah310c1', 'gah310c1', 'w401', 'w103', 'gah310c1']",0
