finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
lh and rh passenger door #1 bonding leads broken (2ea),"['obey all of the warnings, cautions, and', 'replace door bonding', 'do a resistance check of the bonding', 'restore area back to its serviceable con']","[0.1, 6.0, 4.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']","e0091-40-280:f5442 (lead)
e0092-10-250nn:f5442 (lead)
nsa936013-40280:f5442 (lead)
nsa936013-40250:f6198 (lead bonding)
e0090-10-380nn:f5442 (lead)
abs1510f250nn:fape3 (lead)
e0088-10-100nn:f6198 (lead)","['gah3', 'gah3', 'gah3', 'gah3']",805467690
lh and rh pylon access panel found screw broken (p/n: nas1102e3-8) 100 ea <(>&<)> (nas1102e3-10) 47 ea,"['obey all of the warnings, caution, and n', 'replace lh and rh pylon access panel scr', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']","nas1102e3-10:80205 (screw-mach flat head)
nas1102e3-10:80205 (screw-mach flat head)
nas1102e3-8:80205 (screw)
nas1169c10l:80205 (washer)","['gah3', 'gah3', 'gah3']",805493233
lh and rh pylon found screw and washer broken 70ea,"['obey all of the warnings, caution, and n', 'replace lh and rh pylon found screw and', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1']","nas1169c10:80205 (washer)
nas1169c10:80205 (washer)
dan169e3-9:d8518 (fastener)","['gah3', 'gah3', 'gah3']",805382942
lh and rh ram air inlet belows found torn,"['obey all of the warnings, cautions, and', 'replace rh and lh ram air inlet sleeve', 'restore area back to its serviceable con']","[0.1, 6.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1']",f0003006500100:fape3 (sleeve),"['gah3', 'gah3', 'gah3']",805425810
lh and rh t/e horstab electrical harness tie wrap cut 20 ea,"['obey all warnings, cautions and notes as', 'replace tie at lh and rh horstab t/e ele', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1']",nsa935401-04:f5442 (tie),"['gah3', 'gah3', 'gah3']",805386552
lh and rh wing aileron panels need resealant after installation,"['read and fully understad the specified m', 'apply polysulfide sealant-general purpos', 'restore area back to its serviceable con']","[0.1, 3.0, 0.0]","['gah330s1', 'gah330s1', 'gah330s1']",ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20)),"['gah3', 'gah3', 'gah3']",805393549
lh and rh wing flt ctl surface hoist point need patch cover 50ea approx,['cover by jc order 805358803'],[10.0],['gah330a1'],,['gah3'],805371106
lh and rh wing hoist point cover bad condition 44 ea,['install hoist point cover on the surface'],[9.0],['w403'],asna2879a050:f5442 (blanking cap),['wspt'],805438765
"lh and rh wing inner tank, wing rib area and center wing box need purging the rest of fuel","['read and fully understad the specified m', 'purge the tank', 'restore area back to its serviceable con']","[0.1, 32.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']",,"['gah3', 'gah3', 'gah3']",805475525
"lh and rh wing rib panel 541az, 541bz, 641az, 641bz need head bolt cap seal and fillet seal","['obey all warnings, cautions, and notes a', 'apply new cap seal and fillet seal', 'restore area back to its serviceable con']","[1.0, 14.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']",ps890b2:83574 (fuel tank sealant satuannya(qt/kg)),"['gah3', 'gah3', 'gah3']",805392138
lh and rh wing slat several stud found bad condition,['cover by mdr order 805369513'],[0.1],['gah310a1'],,['gah3'],805375175
lh and rh wing slat some stud bad condition 50 approx,"['obey all warnings, cautions and notes as', 'replace stud at lh and rh wing slat pane', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","abs0551-015:fape3 (stud)
abs0551-030:fape3 (stud)","['gah3', 'gah3', 'gah3']",805369513
lh and rh wing tip lower panel need resealant after access inspection,"['obey all warnings, cautions and notes as', 'resealant the gap around the affected pa']","[0.1, 4.0]","['gah330s1', 'gah330s1']",ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20)),"['gah3', 'gah3']",805379061
lh appron panel screw stuck 12ea,"['remove screw struck.', 'remove broken plate-nuts.', 'install new plate-nuts.', 'install new screw.']","[3.0, 5.0, 8.0, 1.0]","['gah320s1', 'gah320s1', 'gah320s1', 'gah320a1']","ms20426ad3-8:81205 (rivet)
nas1153v9:80205 (screw)
nas1154v10:80205 (screw)
nas1791c4-3:80205 (nut)
nas1154v11:80205 (screw)
nas1153v12:80205 (screw)
nas1791c4-4:80205 (nut)
nas1791c4-4:80205 (nut)","['gah3', 'gah3', 'gah3', 'gah3']",805315531
lh bypass vlv mlg door leak from port b,"['obey all of the warnings, cautions, and', 'replace lh bypass vlv mlg door', 'do 5 full door close/door open cycles', 'do a leak test connection line ends', 'restore area back to its serviceable con']","[0.1, 3.0, 3.0, 3.0, 0.1]","['gah330a1', 'gah330a1', 'gah330a1', 'gah330a1', 'gah330a1']","frh530014d:k2523 (valve-l/g bypass, idn 492184)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805477137
lh cockpit windshield at fr4 upper corner aerodynamic sealant tear off,"['obey all warnings, cautions and notes as', 'repair the weather sealant', 'restore area back to its serviceable con']","[1.0, 4.0, 1.0]","['gah330s1', 'gah330zz', 'gah330zz']",pr1425b2:81205 (windshield sealant (ct 48h)),"['gah3', 'gah3', 'gah3']",805384622
lh cockpit windshield at fr7 aerodynamic sealant tear off,"['obey all warnings, cautions and notes as', 'repair the weather sealant', 'restore area back to its serviceable con']","[1.0, 4.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']",pr1425b2:81205 (windshield sealant (ct 48h)),"['gah3', 'gah3', 'gah3']",805384621
lh elevator bonding broken (4ea),"['obey all of the warnings, cautions and n', 'replace lh elevator bonding', 'do bonding jumper resistance test', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",e0092-10-200nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805430850
lh elevator fitting bar #1 bearing need reselant,"['obey all warnings, cautions, and notes a', 'apply new sealant on lh elevator fitting', 'restore area back to its serviceable con']","[1.0, 6.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']",ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20)),"['gah3', 'gah3', 'gah3']",805436679
lh elevator fitting bar #2 bearing need resealant,"['obey all warnings, cautions, and notes a', 'apply new sealant on lh elevator fitting', 'restore area back to its serviceable con']","[1.0, 6.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']",ps870b2:83574 (sealant bms 5-95 class b2 (ea) (ct 20)),"['gah3', 'gah3', 'gah3']",805436680
lh elevator found paint peeled off at several place,['restore the surface protection and apply'],[0.1],['w403'],"pac33cf-4360-3031-11l:92108 (primer beidge)
ca8800b707ctthinner:gmfdm (paint-l/gray)",['wspt'],805468783
lh elevator hinge #1 bolt was chaffing,['cover by mdr 805477128'],[1.0],['gah330a1'],,['gah3'],805477132
lh elevator hinge #1 bolt was corrosion,"['obey all of the warnings, caution, and n', 'replace lh elevator hinge #1 bolt', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah310a1', 'gah330a1', 'gah330a1']",f5598170620000:fape3 (bolt),"['gah3', 'gah3', 'gah3']",805477128
lh elevator hinge #1 found bonding broken 1ea,"['obey all of the warnings, cautions and n', 'replace bonding at lh elevator hinge #1', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 0.5]","['gah310e1', 'gah330e1', 'gah330e1', 'gah330e1']",abs1509a160nn:fape3 (braid),"['gah3', 'gah3', 'gah3', 'gah3']",805466264
lh elevator hinge #2 bracket bonding found broken,"['obey all of the warnings, cautions, and', 'replace bracket bonding lh elevator hing', 'restore area back to its serviceable con']","[0.1, 3.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']",f5598190020200:fape3 (plate),"['gah3', 'gah3', 'gah3']",805264403
lh elevator hinge #3 bearing was overplay,"['obey all of the warnings, caution, and n', 'remove lh elevator hinge #3', 'replace bearing of the hinge fitting', 'install lh elevator hinge #3', 'restore area back to its serviceable con']","[0.1, 1.0, 2.0, 1.0, 0.1]","['gah310a1', 'gah330a1', 'w303', 'gah330a1', 'gah330a1']","ms14102-10:96906 (bearing)
ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
nsa5101-027:f5442 (sleeve)","['gah3', 'gah3', 'wsst', 'gah3', 'gah3']",805477124
lh elevator hinge #4 bearing was overplay,"['obey all of the warnings, caution, and n', 'remove lh elevator hinge #4', 'replace bearing of the hinge fitting', 'install lh elevator hinge #4', 'restore area back to its serviceable con']","[0.1, 1.0, 2.0, 1.0, 0.1]","['gah310a1', 'gah330a1', 'w303', 'gah330a1', 'gah330a1']","ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
nsa5101-023:f5442 (sleeve)
ms14102-6:fape3 (bearing)","['gah3', 'gah3', 'wsst', 'gah3', 'gah3']",805477126
lh elevator hinge #4 found bonding broken 1ea,"['obey all of the warnings, cautions and n', 'replace bonding at lh elevator hinge #4', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 2.0, 0.5]","['gah310e1', 'gah330e1', 'gah330e1', 'gah330e1']",abs1509a160nn:fape3 (braid),"['gah3', 'gah3', 'gah3', 'gah3']",805466265
lh elevator hinge #7 bearing was overplay,"['obey all of the warnings, caution, and n', 'remove lh elevator hinge #7', 'replace bearing of the hinge fitting', 'install lh elevator hinge #7', 'restore area back to its serviceable con']","[0.1, 1.0, 2.0, 1.0, 0.1]","['gah310a1', 'gah330a1', 'w303', 'gah330a1', 'gah330a1']","ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
nsa5101-023:f5442 (sleeve)
ms14102-6:fape3 (bearing)","['gah3', 'gah3', 'wsst', 'gah3', 'gah3']",805477130
lh elevator hinge #7 bolt corrotion,['cover by mdr 805477129'],[0.1],['gah310a1'],,['gah3'],805477121
lh elevator hinge #7 bolt was chaffing,"['obey all of the warnings, caution, and n', 'replace lh elevator hinge #7 bolt', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah310a1', 'gah330a1', 'gah330a1']","e0092-10-200nn:f5442 (lead)
f5598170120051:fape3 (bolt)
ms24665-312:96906 (pin)
ms24665-319:96906 (cotter pin)
ms24665-325:96906 (pin)","['gah3', 'gah3', 'gah3']",805477129
lh elevator hinge 3 bonding bracket crack,"['notices:', 'replace plate', 'do a resistance check of the bonding', 'cautions:']","[1.0, 2.0, 2.0, 1.0]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",f5598190020200:fape3 (plate),"['gah3', 'gah3', 'gah3', 'gah3']",805432063
lh elevator hinge attach. reaction bar bearing found overplay 2 ea,"['obey all of the warnings, caution, and n', 'remove hinge arm attach fitting', 'replace bushing hinge arm attach fitting', 'install hinge arm attach fitting', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 3.0, 0.1]","['gah310a1', 'gah330a1', 'w303', 'gah330a1', 'gah330a1']","ms24665-153:96906 (cotter pin)
ms24665-153:96906 (cotter pin)
ms14102-14:96906 (bearing)
nsa5101-029:f5442 (sleeve)","['gah3', 'gah3', 'wsst', 'gah3', 'gah3']",805482568
lh elevator hinge bonding broken 1ea,"['obey all warnings, cautions and notes as', 'replace bonding at lh elevator hinge', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",e0092-10-200nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805571363
lh elevator hinge fitting bearing #1 need reselant,"['obey all warnings, cautions, and notes a', 'apply new sealant on lh elevator hinge f', 'restore area back to its serviceable con']","[1.0, 6.0, 0.0]","['gah330s1', 'gah330s1', 'gah330s1']","ms14102-10:96906 (bearing)
ms14102-10:96906 (bearing)
ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
ps890b2:83574 (fuel tank sealant satuannya(qt/kg))
as3578-901:81343 (packing)
nas1102e3-24:80205 (screw)","['gah3', 'gah3', 'gah3']",805436676
lh elevator hinge fitting bearing #2 need resealant,"['obey all warnings, cautions, and notes a', 'apply new sealant on lh elevator hinge f', 'restore area back to its serviceable con', 'covered by order 805436678', 'covered by order 805436678']","[1.0, 6.0, 1.0, 0.1, 0.1]","['gah330s1', 'gah330s1', 'gah330s1', 'gah310zz', 'gah310zz']","ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
ps890b2:83574 (fuel tank sealant satuannya(qt/kg))","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805436678
lh elevator hinge#3 found bolt scratch,"['obey all of the warnings, cautions, and', 'replace bolt', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']",,"['gah3', 'gah3', 'gah3']",805263603
lh elevator hinge#4 found bolt and bushing (1 ea) scratch,"['obey all of the warnings, cautions, and', 'replace bolt and bushing', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']","f5598170120051:fape3 (bolt)
f5598161020000:fape3 (bush)","['gah3', 'gah3', 'gah3']",805263604
lh elevator hinge#4 found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding at lh elevator hinge#4', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']",abs1509a200nn:fape3 (braid),"['gah3', 'gah3', 'gah3', 'gah3']",805264022
lh elevator hinge#5 found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding at lh elevator hinge#5', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']",e0092-10-180nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805264023
lh elevator hinge#5 found bushing (1 ea) scratch,"['obey all of the warnings, cautions, and', 'replace bushing', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5]","['gah320a1', 'gah320a1', 'gah320a1']",f5598161020000:fape3 (bush),"['gah3', 'gah3', 'gah3']",805263605
lh elevator hinge-arm attach fitting #2 locking lug was damage,"['read and fully understad the specified m', 'prepare repair area, cutout outer and in', 'do hfec at cutout to ensure any crack.', 'do solution treatment to repair part.', 'prepare repair part.', 'do precipitation treatment. refer to:', 'perform hardness and conductivity test', 'setting part on position.', 'apply surface treatment to repair part a', 'accomplish repair doubler by install rep', 'apply fillet sealant to edges of doubler', 'apply varnish to sealant around repair a', 'restore area back to its serviceable con', 'engineering note:']","[0.1, 2.0, 4.0, 5.0, 4.0, 96.0, 5.0, 4.0, 4.0, 16.0, 4.0, 4.0, 4.0, 1.0]","['gah310s1', 'gah330s1', 'w807', 'w303', 'w301', 'w303', 'w303', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330s1', 'gah330a1', 'gah330s1', 'gah330s1']","dan12-5:d8518 (collar)
ms21042l02:81205 (nut)
ms21042l02:81205 (nut)
ms21042l08:96906 (nut)
nas1252-8h:80205 (washer)
hl12vf5-7:73197 (hi-lock (tbr))
nycote7-11:05803 (elec bonding varnish)
ams4041-100:qa251 (al-clad sheet (one way alt. ams4462-100))","['gah3', 'gah3', 'wsnc', 'wsst', 'wsst', 'wsst', 'wsst', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805480895
lh elevator i/b reaction bar found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding at lh elevator i/b react', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']",e0092-10-160nn:f5442 (lead),"['gah3', 'gah3', 'gah3', 'gah3']",805264019
lh elevator leading edge bonding broken 6 ea,"['obey all warnings, cautions and notes as', 'replace bonding at lh elevator leading e', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 4.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']","e0092-10-200nn:f5442 (lead)
abs1509a200nn:fape3 (braid)
abs1509a180nn:fape3 (braid)","['gah3', 'gah3', 'gah3', 'gah3']",805378881
lh elevator lower surface fore filler peel off,"['obey all of the warnings, cautions, and', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'restore area back to its serviceable con']","[0.1, 8.0, 4.0, 0.1]","['w302', 'w302', 'w403', 'w403']",hysolea960f:71410 (pore filler),"['wsst', 'wsst', 'wspt', 'wspt']",805464857
lh elevator lower surface paint peel of several places,['cover by jobcard paint external livery o'],[0.1],['gah320a1'],,['gah3'],805263601
lh elevator o/b reaction bar found bonding leads broken,"['obey all warnings, cautions and notes as', 'replace bonding at lh elevator o/b react', 'do bonding jumper resistance check', 'restore area back to its serviceable con']","[0.5, 2.0, 1.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']","e0092-10-200nn:f5442 (lead)
e0092-10-200nn:f5442 (lead)","['gah3', 'gah3', 'gah3', 'gah3']",805264021
lh elevator o/b trailing edge found feeler compound disbond,"['obey all of the warnings, cautions, and', 'do permanent repair at the damage area.', 'apply paint as existing colour.', 'restore area back to its serviceable con']","[0.1, 24.0, 4.0, 0.1]","['w302', 'w302', 'w403', 'w403']",hysolea960f:71410 (pore filler),"['wsst', 'wsst', 'wspt', 'wspt']",805264405
lh elevator tranducer rod end corrossion,['covered by order 805430850'],[0.1],['gah310zz'],,['gah3'],805436650
lh elevator upper side paint peel off,['cover by jobcard paint external livery o'],[0.1],['gah320a1'],"f5598172120052:fape3 (bolt)
f5598172120052:fape3 (bolt)",['gah3'],805263602
lh empenage skin dent btw fr74-75 and btw str38-39lh 10mm approx from fr74 fasteners row,"['read and fully understad the specified m', 'do chemical paint strippping surrounding', 'do dvi to ensure remain defect, damage t', 'measure dent parameters and justify limi', 'do hfec inspection to ensure crack free', 'this repair is define as repair category', 'restore surface protection and paint fin', 'restore area back to its serviceable con']","[0.0, 2.0, 1.0, 4.0, 2.0, 1.0, 2.0, 0.0]","['gah330s1', 'w403', 'gah330s1', 'gah330s1', 'w807', 'gah330s1', 'w403', 'w403']",t5351:16837 (paint stripper/remover turco5351),"['gah3', 'wspt', 'gah3', 'gah3', 'wsnc', 'gah3', 'wspt', 'wspt']",805386548
lh eng scan light not ill 1 ea,"['obey all of the warnings, cautions, and', 'replace the lamp at lh engine scan light', 'do operational test of engine scan light', 'restore area back to its serviceable con']","[0.5, 3.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",hlx64621:017j3 (lamp (prefer use osram product)),"['gah3', 'gah3', 'gah3', 'gah3']",805383100
lh engine fan cowl inner side paint peel off,['restore surface finish as existing color'],[4.0],['w403'],515k011-910012:0zx56 (sealant primer (515k011-910-012)),['wspt'],804778489
lh engine scan light not ill 2 ea,"['obey the warnings, cautions and notes as', 'replace lamp at lh engine scan light', 'do operational test of the engine scan l', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 0.5]","['gah310e1', 'gah310e1', 'gah310e1', 'gah310e1']",hlx64621:017j3 (lamp (prefer use osram product)),"['gah3', 'gah3', 'gah3', 'gah3']",805339592
lh fix door mlg has paint peel off,['do repaint coating on the surface'],[8.0],['w403'],"pac33cf-4360-3031-11l:92108 (primer beidge)
ca8800-b5365-ct1:92108 (white paint - thinner)",['wspt'],805516289
lh fwd inner tank bonding broken 5 ea (between rib 2 and 3),"['obey all of the warnings, cautions, and', 'replace bonding', 'do a resistance check of the bonding', 'restore area back to its serviceable con']","[0.1, 14.0, 8.0, 0.1]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']","e0088-16-125:f5442 (lead)
e0088-16-254:f5442 (lead)
e0088-16-125nn:f5442 (lead)
e0088-16-254nn:d4296 (lead)","['gah3', 'gah3', 'gah3', 'gah3']",805437500
"lh horstab connector found surface light corrosion fin no 79qt1-a,3cs1- c,3cs1-a","['obey all of the warnings, cautions and n', 'do clean up lh horstab connector fin 79q', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1']",,"['gah3', 'gah3', 'gah3']",805382435
lh horstab l/e fillet errosion,"['obey all of the warnings, cautions, and', 'do perform permanent repair on damage ar', 'restore the surface protection.', 'restore area back to its serviceable con']","[0.1, 10.0, 2.0, 0.1]","['w302', 'w302', 'w403', 'w403']",hysolea960f:71410 (pore filler),"['wsst', 'wsst', 'wspt', 'wspt']",805343686
lh horstab l/e panel 331 bt was erosion,"['obey all of the warnings, cautions and n', 'remove panel 331bt a lh horstab leading', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'install panel 331bt a lh horstab leading', 'restore area back to its serviceable con', 'obey all of the warnings, cautions and n', 'remove panel 331ct a lh horstab leading', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'install panel 331ct a lh horstab leading', 'restore area back to its serviceable con']","[0.5, 5.0, 8.0, 4.0, 5.0, 0.5, 0.5, 5.0, 8.0, 4.0, 5.0, 0.5]","['gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1', 'gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1']","ea934na:33564 (epoxy resin (spec as9174016))
ea934na:33564 (epoxy resin (spec as9174016))
hysolea960f:71410 (pore filler)","['gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3', 'gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3']",805467539
lh horstab l/e panel 331 dt was erosion,"['obey all of the warnings, cautions and n', 'remove panel lh horstab l/e panel 331dt', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'install panel lh horstab l/e panel 331dt', 'restore area back to its serviceable con']","[0.1, 5.0, 8.0, 4.0, 5.0, 0.5]","['gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1']","ea934na:33564 (epoxy resin (spec as9174016))
ea934na:33564 (epoxy resin (spec as9174016))
hysolea960f:71410 (pore filler)","['gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3']",805467561
lh horstab l/e panel 331 et was erosion,"['obey all of the warnings, cautions and n', 'remove panel 331et a lh horstab leading', 'do permanent repair to the damage area.', 'apply paint as existing colour.', 'installpanel 331et a lh horstab leading', 'restore area back to its serviceable con']","[0.5, 5.0, 8.0, 4.0, 5.0, 0.5]","['gah310a1', 'gah330a1', 'w302', 'w403', 'gah330a1', 'gah330a1']","ea934na:33564 (epoxy resin (spec as9174016))
ea934na:33564 (epoxy resin (spec as9174016))
hysolea960f:71410 (pore filler)","['gah3', 'gah3', 'wsst', 'wspt', 'gah3', 'gah3']",805467562
lh horstab l/e panel 331bt plate nut found broken 14ea,"['read and fully understad the specified m', 'replace broken plate-nuts.', 'restore area back to its serviceable con']","[1.0, 12.0, 1.0]","['gah330s1', 'gah330s1', 'gah330s1']","ms21060l3:96906 (nut)
ms21061l4:96906 (plate nut (tbr))
nas1032a3:80205 (plate nut)
bacn10kb4f:81205 (nutplate)
abs0112-24-05:fape3 (rivet)","['gah3', 'gah3', 'gah3']",805385784
lh horstab l/e panel screw <(>&<)> washer was broken 10ea,"['obey all of the warnings, cautions, and', 'replace screw and washer', 'restore area back to its serviceable con']","[0.1, 1.0, 0.5]","['gah310a1', 'gah330a1', 'gah330a1']","nas1153v6:80205 (screw)
nas1169t10l:80205 (washer)","['gah3', 'gah3', 'gah3']",805467529
lh horstab l/e panel screw stuck and plate nut broken at several place,"['obey all warnings, cautions, and notes a', 'drill out and remove screws stuck', 'remove broken plate nuts', 'install new plate nuts', 'install new screws', 'restore area back to its serviceable con']","[1.0, 16.0, 6.0, 6.0, 4.0, 1.0]","['gah310s1', 'gah310s1', 'gah310s1', 'gah310s1', 'gah310a1', 'gah310a1']","ms21060l3:96906 (nut)
nas1032a3:80205 (plate nut)
bacn10kb4f:81205 (nutplate)
abs0112-24-05:fape3 (rivet)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805467526
lh horstab leading edge tip paint peel off,"['obey all of the warnings and cautions', 'do repaint coating on the surface', 'restore area back to its serviceable con']","[0.1, 9.0, 0.0]","['w403', 'w403', 'w403']","77702-054569:91342 (aviox - grey bac707)
hs2121cf:91342 (aerodur hs2121cf base)","['wspt', 'wspt', 'wspt']",805574917
lh horstab lower surface found paint errosion,"['obey obey all of the warnings, caution,', 'do visual inspection to the damage area', 'apply a/c exterior paint as existing col', 'restore area back to its serviceable con']","[0.1, 2.0, 6.0, 0.1]","['w302', 'w302', 'w403', 'w403']","pac33cf-4360-3031-11l:92108 (primer beidge)
9008b0900d:92108 (ca9008 - clearcoat)
ca9008b70846:92108 (desothane hd 9008 bac 70846 white)","['wsst', 'wsst', 'wspt', 'wspt']",805380332
lh horstab panel 334gb screw stuck,"['obey all warnings, cautions, and notes a', 'remove screws stuck', 'replace plate-nuts.', 'install new screws']","[1.0, 6.0, 3.0, 2.0]","['gah330s1', 'gah330s1', 'gah320s1', 'gah330a1']","dan169e3-10:d8518 (screw)
ms21062l3:96906 (nut)
nas1153v4:80205 (screw)
abs0112-24-06:11815 (cherry rivet)","['gah3', 'gah3', 'gah3', 'gah3']",805259150
lh horstab panel 344ab screw stuck,"['obey all warnings, cautions, and notes a', 'remove screws stuck', 'install new screws']","[1.0, 8.0, 4.0]","['gah330s1', 'gah330s1', 'gah330a1']",,"['gah3', 'gah3', 'gah3']",805259047
lh horstab reinforcement plate bolt and washer found broken,"['obey all warnings, cautions and notes as', 'replace bolt and washer at lh horstab re', 'restore area back to its serviceable con']","[0.5, 2.0, 0.5]","['gah330a1', 'gah330a1', 'gah330a1']","an960c416l:99193 (washer-flat)
nsa5031-4-19:f5442 (bolt)","['gah3', 'gah3', 'gah3']",805387125
lh horstab static discharge type a broken 1 ea,"['obey all of the warnings, cautions and n', 'replace static discharger', 'do static discharger resistance test', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.5]","['gah330e1', 'gah330e1', 'gah330e1', 'gah330e1']",2-14sc1:u1907 (dischrgr),"['gah3', 'gah3', 'gah3', 'gah3']",805375316
lh horstab t/e access panel 344 gb hinge bracket found delamination,"['read and fully understad the specified m', 'remove access panel 344gb for repair acc', 'do dvi to ensure remain defect, and defe', 'note :', 'remove and discard part.', 'setting new part on position.', 'apply protective treatment to all bare m', 'wet install parts with suitable fastener', 'apply paint finish and match color with', 'install access panel 344gb for restore a', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 1.0, 4.0, 6.0, 1.0, 10.0, 2.0, 2.0, 0.0]","['gah330a1', 'gah330a1', 'gah330s1', 'w301', 'w301', 'w301', 'w403', 'w301', 'w403', 'gah330a1', 'gah330a1']","abs0214-5-5:fape3 (rivet)
f5518428600200:fape3 (hinge)
f5518428400200:fape3 (hinge)","['gah3', 'gah3', 'gah3', 'wsst', 'wsst', 'wsst', 'wspt', 'wsst', 'wspt', 'gah3', 'gah3']",805386551
lh horstab t/e hinge bearing #1 migration,"['obey all of the warnings, cautions, and', 'replace hinge arm fitting', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320a1', 'gah320a1', 'gah310a1']","ms14102-10:96906 (bearing)
ms14102-10:96906 (bearing)
ms24665-151:96906 (cotter pin (r/b bacp18bc02a04p))
f5598021000600:fape3 (fitting assy)","['gah3', 'gah3', 'gah3']",805264420
