finding_description,action_taken,work_centre,materials_required,man_hours
AFT CARGO DOORSILL LATCH CONNECTOR FIN1202MY CORROSION,REPLACE CONNECTOR AFT CARGO DOORSILL LAT,GAH330E1,0,1
AFT CARGO DOORSILL LATCH CONNECTOR FIN1202MY CORROSION,DO OPERATIONAL TEST OF THE DOOR SILL LAT,GAH330E1,0,0
AFT CARGO ROLLER TRACK #20 BALL STRIP FOUND BOLT STUCK 4 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330E1,0,0
AFT CARGO ROLLER TRACK #20 BALL STRIP FOUND BOLT STUCK 4 EA,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",GAH330S1,0,1.5
AFT CARGO ROLLER TRACK #20 BALL STRIP FOUND BOLT STUCK 4 EA,REMOVE BOLTS STUCK,GAH330S1,0,1
AFT CARGO ROLLER TRACK #20 BALL STRIP FOUND BOLT STUCK 4 EA,INSTALL NEW BOLTS,GAH330A1,0,1
AFT CARGO ROLLER TRACK #2 PDU BOLT STUCK 6 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,2
AFT CARGO ROLLER TRACK #2 PDU BOLT STUCK 6 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330S1,0,1
AFT CARGO ROLLER TRACK #2 PDU BOLT STUCK 6 EA,REMOVE SCREWS STUCK,GAH330S1,0,1
AFT CARGO ROLLER TRACK #2 PDU BOLT STUCK 6 EA,INSTALL NEW SCREWS,GAH330A1,0,1
LH HORSTAB TRAILING EDGE PNL 334GB FOUND SCREW STUCK 20EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,1
LH HORSTAB TRAILING EDGE PNL 334GB FOUND SCREW STUCK 20EA,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH330S1,0,0.1
LH HORSTAB TRAILING EDGE PNL 334GB FOUND SCREW STUCK 20EA,REMOVE SCREW STUCK,GAH330S1,0,1
LH HORSTAB TRAILING EDGE PNL 334GB FOUND SCREW STUCK 20EA,INSTALL NEW SCREW,GAH330A1,,0.1
BONDING CABLE FOUND BROKEN 1 EA AT PASSENGER DOOR #2 LH,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,,1
BONDING CABLE FOUND BROKEN 1 EA AT PASSENGER DOOR #2 LH,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH330E1,,1
BONDING CABLE FOUND BROKEN 1 EA AT PASSENGER DOOR #2 LH,REPLACE BONDING AT PASSENGER DOOR #2 LH,GAH330E1,,2
BONDING CABLE FOUND BROKEN 1 EA AT PASSENGER DOOR #2 LH,DO BONDING JUMPER RESISTANCE CHECK,GAH330E1,,0.1
BONDING CABLE FOUND BROKEN 1 EA AT FWD CARGO DOOR,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330E1,,0.1
BONDING CABLE FOUND BROKEN 1 EA AT FWD CARGO DOOR,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH330E1,,1
BONDING CABLE FOUND BROKEN 1 EA AT FWD CARGO DOOR,REPLACE BONDING JUMPER AT FWD CARGO DOOR,GAH330E1,,1
BONDING CABLE FOUND BROKEN 1 EA AT FWD CARGO DOOR,DO BONDING JUMPER RESISTANCE CHECK,GAH330E1,,2
"LH AND RH WING RIB PANEL 541AZ, 541BZ, 641AZ, 641BZ NEED HEAD BOLT CAP SEAL AND FILLET SEAL",RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330E1,,0.1
"LH AND RH WING RIB PANEL 541AZ, 541BZ, 641AZ, 641BZ NEED HEAD BOLT CAP SEAL AND FILLET SEAL","OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",GAH330S1,,0.1
"LH AND RH WING RIB PANEL 541AZ, 541BZ, 641AZ, 641BZ NEED HEAD BOLT CAP SEAL AND FILLET SEAL",APPLY NEW CAP SEAL AND FILLET SEAL,GAH330S1,,1
UPPER BRACKET LH LOWER PIVOT DOOR ENG #1 FOUND RIVET MISSING 1EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330S1,,1
UPPER BRACKET LH LOWER PIVOT DOOR ENG #1 FOUND RIVET MISSING 1EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",W301,,0.1
UPPER BRACKET LH LOWER PIVOT DOOR ENG #1 FOUND RIVET MISSING 1EA,DO FASTENER INSTALLATION PROCEDURE,W301,0,0.5
UPPER BRACKET LH LOWER PIVOT DOOR ENG #1 FOUND RIVET MISSING 1EA,DO INSPECTION AFTER PERFORMING FASTENER,W301,0,2
FUEL DRAIN MAST TUBE FOUND BROKEN,RESTORE AREA BACK TO ITS SERVICEABLE CON,W301,0,1
FUEL DRAIN MAST TUBE FOUND BROKEN,"OBEY ALL OF THE WARNINGS, CAUTION, AND N",GAH310A1,0,12
FUEL DRAIN MAST TUBE FOUND BROKEN,REPLACE FUEL DRAIN MAST TUBE,GAH330A1,0,4
OXYGEN DISCHARGE INDICATOR FOUND PEEL OFF,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,2
OXYGEN DISCHARGE INDICATOR FOUND PEEL OFF,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330C1,0,0.5
OXYGEN DISCHARGE INDICATOR FOUND PEEL OFF,DO REPLACEMENT OF THE OXYGEN OVERBOARD D,GAH310C1,0,0.5
OXYGEN DISCHARGE INDICATOR FOUND PEEL OFF,DO A VISUAL INSPECTION OF THE COMPONENT,GAH310C1,0,2
SEALING SIDEWALL FOUND BROKEN QTY 10EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH310C1,0,1
SEALING SIDEWALL FOUND BROKEN QTY 10EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330C1,0,12
SEALING SIDEWALL FOUND BROKEN QTY 10EA,DO REPLACEMENT SEAL OF CABIN WINDOWS,GAH310C1,0,4
SCREW PELMET G1 FOUND STUCK NEED 5EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH310C1,0,2
SCREW PELMET G1 FOUND STUCK NEED 5EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330C1,0,0.5
SCREW PELMET G1 FOUND STUCK NEED 5EA,INTSALL SCREW OF THE PELMET GALLEY,GAH330C1,0,0.3
PISTON DRAINS VALVE AT LOWER FUSELAGE FOUND BAD CONDITION 5EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330C1,0,0
PISTON DRAINS VALVE AT LOWER FUSELAGE FOUND BAD CONDITION 5EA,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH310A1,0,0
PISTON DRAINS VALVE AT LOWER FUSELAGE FOUND BAD CONDITION 5EA,REPLACE DRAIN VALVE AT LOWER FUSELAGE,GAH310A1,0,0
AFT CARGO PDU FIN 1409MY12 FOUND BOLT STUCK 3 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH310A1,0,0
AFT CARGO PDU FIN 1409MY12 FOUND BOLT STUCK 3 EA,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",GAH330S1,,1
AFT CARGO PDU FIN 1409MY12 FOUND BOLT STUCK 3 EA,REMOVE BOLTS STUCK,GAH330S1,0,0.1
AFT CARGO PDU FIN 1409MY12 FOUND BOLT STUCK 3 EA,INSTALL NEW BOLTS,GAH330A1,0,4
AFT CARGO PDU FIN 1410MY12 FOUND BOLT STUCK 3 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,2
AFT CARGO PDU FIN 1410MY12 FOUND BOLT STUCK 3 EA,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",GAH330S1,0,0.5
AFT CARGO PDU FIN 1410MY12 FOUND BOLT STUCK 3 EA,REMOVE BOLTS STUCK,GAH330S1,0,3
AFT CARGO PDU FIN 1410MY12 FOUND BOLT STUCK 3 EA,INSTALL NEW BOLTS,GAH330A1,0,4
BTW FR20-FR21 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND CORROSION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,3
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,THIS DISPREPANCY IS COVER BY MDR NO. 805,GAH310S1,0,0.5
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,READ AND FULLY UNDERSTAD THE SPECIFIED M,GAH310A1,0,3
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,REMOVE DISTRIBUTION DUCT,GAH330E1,0,2
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,REMOVE DRAIN LINE FWD CARGO,GAH330A1,0,0.5
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,REMOVE CORRODED FASTENERS AND FASTENER F,GAH330S1,0,3
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,REMOVE LIGHT CORROSION.,GAH330S1,0,2
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,INSTALL NEW SUITABLE FASTENERS.,GAH330S1,,0.1
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,RESTORE SURFACE PROTECTION AND PAINT FIN,W403,,0.1
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,INSTAL DRAIN LINE FWD CARGO,GAH330A1,0,0.1
FR32 STR57 CARGO UNDERFLOOR LOWER LUBE FOUND STIFFENER CORROSION,INSTALL DISTRIBUTION DUCT,GAH330E1,0,2
RH HORSTAB L/E PANEL 341CT NEED RE-SEALENT,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,2
RH HORSTAB L/E PANEL 341CT NEED RE-SEALENT,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",GAH330S1,,0
RH HORSTAB L/E PANEL 341CT NEED RE-SEALENT,RE-SEAL RH HORSTAB L/E PANEL 341CT,GAH330S1,,0
FWD CARGO DOOR LINING FOUND CRACK POSITION AFT SIDE,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330S1,0,0
FWD CARGO DOOR LINING FOUND CRACK POSITION AFT SIDE,"OBEY ALL OF THE WARNINGS, CAUTION, AND N",GAH330A1,0,0
FWD CARGO DOOR LINING FOUND CRACK POSITION AFT SIDE,REMOVE FWD CARGO DOOR LINING,GAH330A1,,0
FWD CARGO DOOR LINING FOUND CRACK POSITION AFT SIDE,DO VISUAL INSPECTION AND MEASURE THE DAM,W302,0,0.1
FWD CARGO DOOR LINING FOUND CRACK POSITION AFT SIDE,DO PERMANENT REPAIR TO THE DAMAGE AREA,W302,0,4
FWD CARGO DOOR LINING FOUND CRACK POSITION AFT SIDE,APPLY FURNISHING AND TOP COAT TO REPAIR,W403,0,2
FWD CARGO DOOR LINING FOUND CRACK POSITION AFT SIDE,INSTALL FWD CARGO DOOR LINING,GAH330A1,,3
ALTERNATE PARKING BRAKE ACCUMULATOR SYSTEM B FOUND LEAK FROM EXT SURFACEOF UPPER HEAD BODY,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,,0
ALTERNATE PARKING BRAKE ACCUMULATOR SYSTEM B FOUND LEAK FROM EXT SURFACEOF UPPER HEAD BODY,"OBEY ALL OF THE WARNINGS, CAUTION, AND N",GAH330A1,,0
ALTERNATE PARKING BRAKE ACCUMULATOR SYSTEM B FOUND LEAK FROM EXT SURFACEOF UPPER HEAD BODY,REPLACE ALTERNATE PARKING BRAKE ACCUMULA,GAH330A1,,0.8
ALTERNATE PARKING BRAKE ACCUMULATOR SYSTEM B FOUND LEAK FROM EXT SURFACEOF UPPER HEAD BODY,DO FILL THE ACCUMULATOR WITH NITROGEN,GAH330A1,0,0.1
ALTERNATE PARKING BRAKE ACCUMULATOR SYSTEM B FOUND LEAK FROM EXT SURFACEOF UPPER HEAD BODY,BLEED THE ALTERNATE BRAKE SYSTEM,GAH330A1,0,1
ALTERNATE PARKING BRAKE ACCUMULATOR SYSTEM B FOUND LEAK FROM EXT SURFACEOF UPPER HEAD BODY,DO BLEED THE BLUE HYDRAULIC SYSTEM DOWNS,GAH330A1,0,1
ALTERNATE PARKING BRAKE ACCUMULATOR SYSTEM B FOUND LEAK FROM EXT SURFACEOF UPPER HEAD BODY,DO TEST OF THE PARKING ALTERNATE-BRAKE A,GAH330A1,0,1
LH AND RH WING AILERON PANELS NEED RESEALANT AFTER INSTALLATION,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,1.5
LH AND RH WING AILERON PANELS NEED RESEALANT AFTER INSTALLATION,READ AND FULLY UNDERSTAD THE SPECIFIED M,GAH330S1,0,0.1
LH AND RH WING AILERON PANELS NEED RESEALANT AFTER INSTALLATION,APPLY POLYSULFIDE SEALANT-GENERAL PURPOS,GAH330S1,0,1.5
FWD CARGO ROLLER PDU 1515MY11 FOUND BOLT STUCK 2 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330S1,0,0.1
FWD CARGO ROLLER PDU 1515MY11 FOUND BOLT STUCK 2 EA,READ AND FULLY UNDERSTAD THE SPECIFIED M,GAH330S1,0,1
FWD CARGO ROLLER PDU 1515MY11 FOUND BOLT STUCK 2 EA,REMOVE STUCKED BOLT.,GAH330S1,0,2
FWD CARGO ROLLER PDU 1515MY11 FOUND BOLT STUCK 2 EA,REPLACE BROKEN PLATE-NUT.,GAH330S1,0,2
FWD CARGO ROLLER PDU 1515MY11 FOUND BOLT STUCK 2 EA,INSTALL NEW SUITABLE BOLT.,GAH330A1,0,1
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,0.1
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,READ AND FULLY UNDERSTAD THE SPECIFIED M,GAH330S1,0,1
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,"DO DVI TO ENSURE DEFECT, AND NO OTHER DA",GAH330S1,0,0
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,BLEND OUT DAMAGE & DO SMOOTH POLISHED CO,GAH330S1,0,0
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,DO HFEC INSPECTION TO ENSURE CRACK FREE,W807,0,1.5
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,PERFORM SKIN GRID MAPPING 10 X 10 mm AT,W808,,8
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,NOTE :,GAH330S1,,1
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,BLENDOUT OTHER DAMAGE AND MEASURE DAMAGE,GAH330S1,0,0.5
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,DO HFEC INSPECTION TO ENSURE CRACK FREE,W807,0,3
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,PERFORM SKIN GRID MAPPING 10 X 10 mm AT,W808,0,2
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,NOTE :,GAH330S1,0,0.5
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,MAKE SURE THE REWORKS WERE PERFORMED AS,GAH330S1,,0
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,PERFORM DVI ON THE REWORKED AREA AND SUR,GAH330S1,,0
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,ENSURE REWORK ON THE FASTENER HEAD SHOUL,GAH330S1,,0
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,RESTORE SURFACE PROTECTION AND PAINT FIN,W403,0,9
FUSELAGE SKIN FOUND CHAFING AT DOOR 1 LH AREA UNDER SCUFF-PLATE,"THIS REWORK IS DEFINE AS ""MAJOR"" REPAIR",GAH330S1,0,2
FASTENERS AT BRACKET UNDER SEAT TRACK Y1959 BTW FR34-FR35 FOUND BROKEN,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330S1,0,9
FASTENERS AT BRACKET UNDER SEAT TRACK Y1959 BTW FR34-FR35 FOUND BROKEN,READ AND FULLY UNDERSTAD THE SPECIFIED M,GAH310S1,0,2
FASTENERS AT BRACKET UNDER SEAT TRACK Y1959 BTW FR34-FR35 FOUND BROKEN,REPLACE BROKEN FASTENERS.,GAH330S1,0,0
DOOR 1LH FR17 STR25 BELOW SCUFF PLATES FOUND SCRATCH,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330S1,0,0
DOOR 1LH FR17 STR25 BELOW SCUFF PLATES FOUND SCRATCH,READ AND FULLY UNDERSTAD THE SPECIFIED M,GAH310S1,0,0
DOOR 1LH FR17 STR25 BELOW SCUFF PLATES FOUND SCRATCH,DO CHEMICAL PAINT STRIPPPING SURROUNDING,W403,0,0
DOOR 1LH FR17 STR25 BELOW SCUFF PLATES FOUND SCRATCH,"DO DVI TO ENSURE REMAIN DEFECT, AND DEFE",GAH330S1,0,0
DOOR 1LH FR17 STR25 BELOW SCUFF PLATES FOUND SCRATCH,RESTORE SURFACE PROTECTION AND PAINT FIN,W403,,0
BAY UNDER AFT CARGO COMPT BETWEEN FR53.2 AND FR65 AND BETWEEN STGR53RH AND STGR53LH FOUND SEVERAL RIVETS LIGHT CORROSION,RESTORE AREA BACK TO ITS SERVICEABLE CON,W403,0,6
BAY UNDER AFT CARGO COMPT BETWEEN FR53.2 AND FR65 AND BETWEEN STGR53RH AND STGR53LH FOUND SEVERAL RIVETS LIGHT CORROSION,READ AND FULLY UNDERSTAD THE SPECIFIED M,GAH330S1,0,0.1
BAY UNDER AFT CARGO COMPT BETWEEN FR53.2 AND FR65 AND BETWEEN STGR53RH AND STGR53LH FOUND SEVERAL RIVETS LIGHT CORROSION,REPLACE CORRODED FASTENERS.,GAH330S1,0,4
BAY UNDER AFT CARGO COMPT BETWEEN FR53.2 AND FR65 AND BETWEEN STGR53RH AND STGR53LH FOUND SEVERAL RIVETS LIGHT CORROSION,RESTORE SURFACE PROTECTION.,W403,0,2
AFT CARGO CEILING RECEPTACLE BROKEN 5EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,W403,0,6
AFT CARGO CEILING RECEPTACLE BROKEN 5EA,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH330A1,,0
AFT CARGO CEILING RECEPTACLE BROKEN 5EA,REPLACE RECEPTACLE AT AFT CARGO CEILING,GAH330A1,0,0
AFT CARGO SIDEWALL STUD HEAD (-07) BROKEN 50 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,,2
AFT CARGO SIDEWALL STUD HEAD (-07) BROKEN 50 EA,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH330A1,0,6
AFT CARGO SIDEWALL STUD HEAD (-07) BROKEN 50 EA,REPLACE STUD AT AF CARGO SIDEWALL PANEL,GAH330A1,0,6
AFT CARGO CEILING STUD (-07) BROKEN 50EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,0
AFT CARGO CEILING STUD (-07) BROKEN 50EA,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH330A1,,0
AFT CARGO CEILING STUD (-07) BROKEN 50EA,REPLACE STUD AT AFT CARGO CEILING PANEL,GAH330A1,0,0
BULK CARGO SIDEWALL STUD HEAD (-06) BROKEN 40 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,0.1
BULK CARGO SIDEWALL STUD HEAD (-06) BROKEN 40 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH330A1,0,1
BULK CARGO SIDEWALL STUD HEAD (-06) BROKEN 40 EA,REPLACE STUD AT BULK CARGO SIDEWALL,GAH330A1,,1
BULK CARGO SIDEWALL STUD HEAD (-07) BROKEN 40 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,,2
BULK CARGO SIDEWALL STUD HEAD (-07) BROKEN 40 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330A1,0,0.1
BULK CARGO SIDEWALL STUD HEAD (-07) BROKEN 40 EA,REPLACE STUD OF BULK CARGO SIDEWALL,GAH330A1,0,3
BULK CARGO SIDEWALL STUD HEAD (-12) BROKEN 40 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,0.1
BULK CARGO SIDEWALL STUD HEAD (-12) BROKEN 40 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330A1,0,1.5
BULK CARGO SIDEWALL STUD HEAD (-12) BROKEN 40 EA,REPLACE STUD BULK CARGO SIDEWALL,GAH330A1,,0.1
AFT CARGO SIDEWALL WASHER BROKEN 60 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,,1
AFT CARGO SIDEWALL WASHER BROKEN 60 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH330A1,,0.5
AFT CARGO SIDEWALL WASHER BROKEN 60 EA,REPLACE WASHER,GAH330A1,,0.5
AFT CARGO SIDEWALL STUD HEAD (-06) BROKEN 50 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,0.1
AFT CARGO SIDEWALL STUD HEAD (-06) BROKEN 50 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS AND N",GAH330A1,0,1
AFT CARGO SIDEWALL STUD HEAD (-06) BROKEN 50 EA,REPLACE STUD,GAH330A1,,0
[T7-MMM] NEED REPAIR IDENTIFICATION 'FRS G012A' (20EA) AND 'FRS G012B' (20 EA),RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,0.1
[T7-MMM] NEED REPAIR IDENTIFICATION 'FRS G012A' (20EA) AND 'FRS G012B' (20 EA),CREATE 20 EA REPAIR 'FRS G012 A' IDENTIF,W403,0,1.5
CLAMP WASTELINE UNDER L35 AT FWD CARGO FR C37 STR 28 & CLAMP WASTELINE AT FWD CARGO FR.C39 STR 36 LH FOUND NOT PROPERLY INSTALL,CREATE 20 EA REPAIR 'FRS G012 B' IDENTIF,W403,,1
CLAMP WASTELINE UNDER L35 AT FWD CARGO FR C37 STR 28 & CLAMP WASTELINE AT FWD CARGO FR.C39 STR 36 LH FOUND NOT PROPERLY INSTALL,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330C1,,1
CLAMP WASTELINE UNDER L35 AT FWD CARGO FR C37 STR 28 & CLAMP WASTELINE AT FWD CARGO FR.C39 STR 36 LH FOUND NOT PROPERLY INSTALL,DO RE-INSTALL PROPERLY THE CLAMP OF TOIL,GAH310C1,0,0
SPARE BULB FOUND 3EA NOT COMPLETE,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH310C1,0,1
SPARE BULB FOUND 3EA NOT COMPLETE,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH330E1,0,1
SPARE BULB FOUND 3EA NOT COMPLETE,DO COMPLETED SPARE BULB,GAH330ZZ,0,0
ENG #2 LAPF SCREW AND WASHER MISSING 20 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330ZZ,0,0.5
ENG #2 LAPF SCREW AND WASHER MISSING 20 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330A1,0,3
ENG #2 LAPF SCREW AND WASHER MISSING 20 EA,COMPLETE SCREW AND WASHER LAPF ENG#2,GAH330A1,0,1
CLAMP BRACKET WASTELINE AT FWD CARGO FR.C39 STR 36 LH FOUND LOOSE,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,0,0.5
CLAMP BRACKET WASTELINE AT FWD CARGO FR.C39 STR 36 LH FOUND LOOSE,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330C1,,0
CLAMP BRACKET WASTELINE AT FWD CARGO FR.C39 STR 36 LH FOUND LOOSE,INSTALL PROPPERLY THE CLAMP WASTE LINE,GAH330C1,0,0
AFT CARGO SINGLE LATCH P/N: 2985T100-1 FOUND PIN AND BOLT CORROSION 2 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330C1,,1
AFT CARGO SINGLE LATCH P/N: 2985T100-1 FOUND PIN AND BOLT CORROSION 2 EA,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",GAH330A1,0,0
AFT CARGO SINGLE LATCH P/N: 2985T100-1 FOUND PIN AND BOLT CORROSION 2 EA,REPLACE PIN AND BOLT AT AFT CARGO SINGLE,GAH330A1,0,0
AFT CARGO SINGLE LATCH P/N: 2985T100-1 FOUND PIN AND BOLT CORROSION 2 EA,DO THE TEST,GAH330A1,0,2
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH330A1,,1
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH330A1,,2
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,REMOVE RUDDER FOR SHOP REPAIR,GAH330A1,0,9
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,DO VISUAL INSPECTION AND MEASURE THE DAM,W302,0,0.1
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE:,W302,0,2
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE,W302,0,1
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,(ULTRASONIC INSPECTION - 81455543/042),W808,0,0.5
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,(MARK - WITHOUT CUT OUT - 81455543/042),W302,,4
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE:,W302,,0
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE:,W302,,0
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,(CALCULATE ENCLOSED AREA - 81455543/051),W302,,4
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE:,W302,,0
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE:,W302,0,0.5
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,(UPDATED CUT LAYOUT - 81455543/057),W302,0,4
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,(LAYOUT MEASUREMENT - 81455543/057),W302,0,3
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE:,W302,0,3
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,ENGINEERING NOTE:,W302,0,3
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,(FASTENER REMOVAL),W301,,0
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,STEP 1. PRECURED INNER SKIN SHEET MAKING,W302,0,5
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,STEP 2. CYLINDRICAL BLOCK PREPARATION,W302,0,2
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,STEP 3. CYLINDRICAL BLOCK BONDING PROCES,W302,,0
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,STEP 4. REPAIR BUSH BONDING PROCESS,W302,0,0.1
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,STEP 5. SPECIAL INSTRUCTION BASED ON TEC,W302,0,1
RUDDER HOIST POINT 2LH FOUND WATER INGRESS,STEP 5. ADDITIONAL TASK OF TECHNICAL DIS,W302,0,6
